original_image,mask_image,data_split
./data_Image/Images/bus_0001-l.png,./data_Image/Mask/bus_0001-l.png,Test
./data_Image/Images/bus_0001-r.png,./data_Image/Mask/bus_0001-r.png,Train
./data_Image/Images/bus_0002-l.png,./data_Image/Mask/bus_0002-l.png,Train
./data_Image/Images/bus_0002-r.png,./data_Image/Mask/bus_0002-r.png,Train
./data_Image/Images/bus_0003-l.png,./data_Image/Mask/bus_0003-l.png,Validation
./data_Image/Images/bus_0003-r.png,./data_Image/Mask/bus_0003-r.png,Train
./data_Image/Images/bus_0004-l.png,./data_Image/Mask/bus_0004-l.png,Test
./data_Image/Images/bus_0004-r.png,./data_Image/Mask/bus_0004-r.png,Train
./data_Image/Images/bus_0005-l.png,./data_Image/Mask/bus_0005-l.png,Train
./data_Image/Images/bus_0005-r.png,./data_Image/Mask/bus_0005-r.png,Validation
./data_Image/Images/bus_0006-s.png,./data_Image/Mask/bus_0006-s.png,Train
./data_Image/Images/bus_0007-l.png,./data_Image/Mask/bus_0007-l.png,Train
./data_Image/Images/bus_0007-r.png,./data_Image/Mask/bus_0007-r.png,Train
./data_Image/Images/bus_0008-l.png,./data_Image/Mask/bus_0008-l.png,Train
./data_Image/Images/bus_0008-r.png,./data_Image/Mask/bus_0008-r.png,Train
./data_Image/Images/bus_0009-l.png,./data_Image/Mask/bus_0009-l.png,Train
./data_Image/Images/bus_0009-r.png,./data_Image/Mask/bus_0009-r.png,Train
./data_Image/Images/bus_0010-l.png,./data_Image/Mask/bus_0010-l.png,Train
./data_Image/Images/bus_0010-r.png,./data_Image/Mask/bus_0010-r.png,Validation
./data_Image/Images/bus_0011-l.png,./data_Image/Mask/bus_0011-l.png,Train
./data_Image/Images/bus_0011-r.png,./data_Image/Mask/bus_0011-r.png,Train
./data_Image/Images/bus_0012-l.png,./data_Image/Mask/bus_0012-l.png,Train
./data_Image/Images/bus_0012-r.png,./data_Image/Mask/bus_0012-r.png,Train
./data_Image/Images/bus_0013-l.png,./data_Image/Mask/bus_0013-l.png,Train
./data_Image/Images/bus_0013-r.png,./data_Image/Mask/bus_0013-r.png,Train
./data_Image/Images/bus_0014-s.png,./data_Image/Mask/bus_0014-s.png,Train
./data_Image/Images/bus_0015-s.png,./data_Image/Mask/bus_0015-s.png,Validation
./data_Image/Images/bus_0016-l.png,./data_Image/Mask/bus_0016-l.png,Train
./data_Image/Images/bus_0016-r.png,./data_Image/Mask/bus_0016-r.png,Validation
./data_Image/Images/bus_0017-s.png,./data_Image/Mask/bus_0017-s.png,Train
./data_Image/Images/bus_0018-s.png,./data_Image/Mask/bus_0018-s.png,Train
./data_Image/Images/bus_0019-l.png,./data_Image/Mask/bus_0019-l.png,Train
./data_Image/Images/bus_0019-r.png,./data_Image/Mask/bus_0019-r.png,Train
./data_Image/Images/bus_0020-l.png,./data_Image/Mask/bus_0020-l.png,Train
./data_Image/Images/bus_0020-r.png,./data_Image/Mask/bus_0020-r.png,Train
./data_Image/Images/bus_0021-l.png,./data_Image/Mask/bus_0021-l.png,Train
./data_Image/Images/bus_0021-r.png,./data_Image/Mask/bus_0021-r.png,Train
./data_Image/Images/bus_0022-l.png,./data_Image/Mask/bus_0022-l.png,Train
./data_Image/Images/bus_0022-r.png,./data_Image/Mask/bus_0022-r.png,Train
./data_Image/Images/bus_0023-l.png,./data_Image/Mask/bus_0023-l.png,Train
./data_Image/Images/bus_0023-r.png,./data_Image/Mask/bus_0023-r.png,Test
./data_Image/Images/bus_0024-l.png,./data_Image/Mask/bus_0024-l.png,Train
./data_Image/Images/bus_0024-r.png,./data_Image/Mask/bus_0024-r.png,Validation
./data_Image/Images/bus_0025-l.png,./data_Image/Mask/bus_0025-l.png,Validation
./data_Image/Images/bus_0025-r.png,./data_Image/Mask/bus_0025-r.png,Train
./data_Image/Images/bus_0026-s.png,./data_Image/Mask/bus_0026-s.png,Train
./data_Image/Images/bus_0027-l.png,./data_Image/Mask/bus_0027-l.png,Validation
./data_Image/Images/bus_0027-r.png,./data_Image/Mask/bus_0027-r.png,Train
./data_Image/Images/bus_0028-l.png,./data_Image/Mask/bus_0028-l.png,Validation
./data_Image/Images/bus_0028-r.png,./data_Image/Mask/bus_0028-r.png,Train
./data_Image/Images/bus_0029-s.png,./data_Image/Mask/bus_0029-s.png,Validation
./data_Image/Images/bus_0030-s.png,./data_Image/Mask/bus_0030-s.png,Train
./data_Image/Images/bus_0031-s.png,./data_Image/Mask/bus_0031-s.png,Train
./data_Image/Images/bus_0032-l.png,./data_Image/Mask/bus_0032-l.png,Validation
./data_Image/Images/bus_0032-r.png,./data_Image/Mask/bus_0032-r.png,Train
./data_Image/Images/bus_0033-l.png,./data_Image/Mask/bus_0033-l.png,Test
./data_Image/Images/bus_0033-r.png,./data_Image/Mask/bus_0033-r.png,Train
./data_Image/Images/bus_0034-l.png,./data_Image/Mask/bus_0034-l.png,Train
./data_Image/Images/bus_0034-r.png,./data_Image/Mask/bus_0034-r.png,Train
./data_Image/Images/bus_0035-l.png,./data_Image/Mask/bus_0035-l.png,Validation
./data_Image/Images/bus_0035-r.png,./data_Image/Mask/bus_0035-r.png,Train
./data_Image/Images/bus_0036-l.png,./data_Image/Mask/bus_0036-l.png,Validation
./data_Image/Images/bus_0036-r.png,./data_Image/Mask/bus_0036-r.png,Train
./data_Image/Images/bus_0037-s.png,./data_Image/Mask/bus_0037-s.png,Validation
./data_Image/Images/bus_0038-s.png,./data_Image/Mask/bus_0038-s.png,Train
./data_Image/Images/bus_0039-l.png,./data_Image/Mask/bus_0039-l.png,Test
./data_Image/Images/bus_0039-r.png,./data_Image/Mask/bus_0039-r.png,Train
